,node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
8058,N3466|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,10000000000.0,0.0,0.0,4.8939194727451286e-05
8059,N3467|B1,0,2,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,6000000000.0,0.0,0.0,4.8939194727451286e-05
8060,N7691|B106,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,1800000000.0,0.0,0.0,143655.22745411014,6.150546801256921e-05
8061,N7692|B106,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,4200000000.0,0.0,0.0,335195.53072625695,7.82604990593931e-05
8062,N3468|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,200000000.0,0.0,0.0,4.8939194727451286e-05
8063,N7693|B105,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,200000000.0,0.0,0.0,15961.69193934557,9.0826772344511e-05
8064,N2730|B7,1,0,0.0,0.00010641127959563712,0.00012706415894060016,1,0,0.0,0.00010641127959563712,0.0001268072717213547,1000000000.0,0.0,0.0,53205.63979781856,0.00012646552422241613
8065,N3469|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,3820000000.0,0.0,0.0,4.8939194727451286e-05
8066,N7694|B89,12,0,0.0,0.000977653631284916,0.0004495042099036073,26,0,0.0,0.0016181853207474473,0.0004536832141503652,113282500000.0,0.0,0.0,1268838.8035338963,0.00046617041963813123
8067,N3470|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,200000000.0,0.0,0.0,4.8939194727451286e-05
