entity,in_degree,out_degree,total_degree
N371 (B3),1.0,1.0,2.0
N372 (B4),0.0,1.0,1.0
N5277 (B4),0.0,2.0,2.0
N5278 (B4),0.0,1.0,1.0
N374 (B4),0.0,1.0,1.0
N375 (B4),0.0,1.0,1.0
N5279 (B3),0.0,1.0,1.0
N377 (B14),2.0,1.0,3.0
N377 (B11),9.0,3.0,12.0
N4139 (B4),2.0,1.0,3.0
N5280 (B13),0.0,1.0,1.0
N5281 (B30),0.0,1.0,1.0
N377 (B4),2.0,5.0,7.0
N1506 (B4),0.0,3.0,3.0
N5282 (B9),0.0,5.0,5.0
N5283 (B11),0.0,1.0,1.0
N5284 (B4),0.0,3.0,3.0
N378 (B5),0.0,1.0,1.0
N5285 (B13),0.0,1.0,1.0
N380 (B4),0.0,1.0,1.0
N5286 (B4),0.0,1.0,1.0
N381 (B4),0.0,1.0,1.0
N382 (B3),0.0,3.0,3.0
N382 (B17),0.0,1.0,1.0
N5287 (B17),0.0,1.0,1.0
N384 (B3),0.0,1.0,1.0
N5288 (B4),0.0,1.0,1.0
N5289 (B7),0.0,1.0,1.0
N5290 (B17),0.0,1.0,1.0
N5291 (B3),0.0,1.0,1.0
N5292 (B51),0.0,1.0,1.0
N1587 (B4),0.0,1.0,1.0
N1587 (B3),1.0,3.0,4.0
N391 (B11),0.0,1.0,1.0
N391 (B7),0.0,1.0,1.0
N391 (B17),0.0,1.0,1.0
N391 (B3),0.0,1.0,1.0
N391 (B5),0.0,1.0,1.0
N392 (B4),0.0,2.0,2.0
N5293 (B4),0.0,2.0,2.0
N5294 (B3),0.0,2.0,2.0
N5295 (B3),0.0,2.0,2.0
N392 (B43),0.0,2.0,2.0
N5296 (B30),0.0,2.0,2.0
N393 (B8),0.0,1.0,1.0
N5297 (B5),0.0,1.0,1.0
N5298 (B10),0.0,2.0,2.0
N5299 (B5),0.0,2.0,2.0
N5300 (B8),0.0,2.0,2.0
N396 (B5),0.0,2.0,2.0
N396 (B4),0.0,1.0,1.0
N5301 (B41),0.0,1.0,1.0
N397 (B7),0.0,1.0,1.0
N397 (B58),0.0,1.0,1.0
N5302 (B54),0.0,1.0,1.0
